similitud,pieza_1,no_parte_1,pieza_2,no_parte_2,razon_no_fusion
96.8,CODO NEGRO SOLDABLE CED 40 1*90°,CODO N-015,CODO NEGRO SOLDABLE CED 40 4*90°,CODO N-011,Medidas/modelos diferentes
96.8,"CODO NEGRO SOLDABLE CED 40 2"" * 45°",CODO N-022,"CODO NEGRO SOLDABLE CED 40 3"" * 45°",CODO N-021,Medidas/modelos diferentes
96.8,"CODO NEGRO SOLDABLE CED 40 2"" * 45°",CODO N-022,"CODO NEGRO SOLDABLE CED 40 4"" * 45°",CODO N-020,Medidas/modelos diferentes
96.8,"CODO NEGRO SOLDABLE CED 40 2"" * 45°",CODO N-022,CODO NEGRO SOLDABLE CED 40 5 * 45°,CODO N-019,Medidas/modelos diferentes
96.8,CODO NEGRO SOLDABLE CED 40 2*90°,CODO N-013,CODO NEGRO SOLDABLE CED 40 3*90°,CODO N-012,Medidas/modelos diferentes
96.8,CODO NEGRO SOLDABLE CED 40 2*90°,CODO N-013,CODO NEGRO SOLDABLE CED 40 4*90°,CODO N-011,Medidas/modelos diferentes
96.8,"CODO NEGRO SOLDABLE CED 40 3"" * 45°",CODO N-021,"CODO NEGRO SOLDABLE CED 40 4"" * 45°",CODO N-020,Medidas/modelos diferentes
96.8,"CODO NEGRO SOLDABLE CED 40 3"" * 45°",CODO N-021,CODO NEGRO SOLDABLE CED 40 5 * 45°,CODO N-019,Medidas/modelos diferentes
96.8,CODO NEGRO SOLDABLE CED 40 3*90°,CODO N-012,CODO NEGRO SOLDABLE CED 40 4*90°,CODO N-011,Medidas/modelos diferentes
96.8,"CODO NEGRO SOLDABLE CED 40 4"" * 45°",CODO N-020,CODO NEGRO SOLDABLE CED 40 5 * 45°,CODO N-019,Medidas/modelos diferentes
96.8,NIPLE ACERO AL CARBON DE 1 1/2 * 4,NIPLE -123,NIPLE ACERO AL CARBON DE 1/2 * 4,NIPLE -141,Medidas/modelos diferentes
96.8,NIPLE ACERO AL CARBON DE 1 1/2 * 5,NIPLE -122,NIPLE ACERO AL CARBON DE 1/2 * 5,NIPLE -140,Medidas/modelos diferentes
96.8,NIPLE ACERO AL CARBON DE 1 1/2 * 6,NIPLE -121,NIPLE ACERO AL CARBON DE 1/2 * 6,NIPLE -139,Medidas/modelos diferentes
96.8,NIPLE ACERO AL CARBON DE 1 1/2 * 8,NIPLE -120,NIPLE ACERO AL CARBON DE 1/2 * 8,NIPLE -138,Medidas/modelos diferentes
96.8,NIPLE ACERO AL CARBON DE 1/2 * 4,NIPLE -141,NIPLE ACERO AL CARBON DE 2 1/2 * 4,NIPLE -109,Medidas/modelos diferentes
96.8,NIPLE ACERO AL CARBON DE 1/2 * 5,NIPLE -140,NIPLE ACERO AL CARBON DE 2 1/2 * 5,NIPLE -108,Medidas/modelos diferentes
96.8,NIPLE ACERO AL CARBON DE 1/2 * 6,NIPLE -139,NIPLE ACERO AL CARBON DE 2 1/2 * 6,NIPLE -100,Medidas/modelos diferentes
96.8,NIPLE ACERO AL CARBON DE 1/2 * 8,NIPLE -138,NIPLE ACERO AL CARBON DE 2 1/2 * 8,NIPLE -099,Medidas/modelos diferentes
